Learning Rate,Epochs,Architecture,Activation,Optimizer,Batch Size,MSE,RMSE,R²,Loss History,Val Loss History
0.001,30,"[244, 128, 64, 1]",relu,mini_batch,32,563.7187771707027,23.74276262718184,0.6367853762885677,"[1358.2001740843423, 841.1106634320473, 649.1483462070222, 649.4145847213372, 606.0161953467616, 558.4855997706234, 570.8221640060171, 562.8658025293864, 546.9950968865528, 532.2779496568277, 518.7088688887113, 522.3446663441879, 507.20902665405487, 503.68195496536583, 497.7105668207867, 488.31237669733537, 487.01066716367063, 476.56500151707377, 486.78183511053487, 471.79637546923453, 487.39673584351067, 464.2666013876588, 470.2597841850986, 454.9011724788486, 460.58553132350573, 454.17716307538547, 449.612344411775, 435.1644313666151, 442.30515120229325, 438.50274421821143]","[659.3221841852638, 975.0321310736405, 654.6627525972518, 646.773243381726, 720.9515300338157, 715.7077136379861, 606.6678955699882, 601.7645764962379, 621.1672827482719, 639.7544131134574, 689.6691252054544, 679.9082074466222, 640.433191801225, 671.5931623501941, 612.8959842339752, 598.9815134558019, 595.9853900284473, 642.7095026865057, 619.8643688124487, 664.4380928439915, 596.1533631278421, 610.6295262937704, 872.4199639172, 570.5694690733028, 596.5057677913909, 591.6359476175438, 599.2947161041741, 740.713877813385, 776.1184893982165, 595.9842063379746]"
0.01,20,"[244, 64, 1]",relu,mini_batch,32,577.682476331709,24.03502603143398,0.627788301963955,"[2143.6151094109487, 861.7761710988505, 730.8337002933239, 670.3247082619956, 631.5887505731573, 630.7686052301691, 590.4807553397094, 573.0124797377358, 575.5327612047163, 600.6344059158165, 565.4733619271109, 562.7496562357222, 547.841472744121, 549.0854694545458, 541.8893663406886, 533.5560711275879, 529.0001038936499, 506.6232513220837, 524.8805525578938, 516.0383349232303]","[1502.45166032066, 928.7325284357264, 813.7516778233847, 702.1206826130983, 834.0754720316744, 811.3449504820007, 681.9137619115073, 792.0346341227828, 615.5194918061154, 662.3360021093256, 702.5250661485902, 620.0392315416449, 679.1450796209213, 654.9427517876259, 860.7266631583445, 707.8091786320068, 687.2630838933013, 641.0072153913433, 706.3415640942585, 589.0129623769213]"
0.001,20,"[244, 64, 1]",relu,mini_batch,32,581.7415763942572,24.119319567397774,0.625172947355359,"[1132.616959396488, 669.0660864128545, 624.6261666253479, 594.4798432109532, 571.8649150929751, 559.482163651362, 553.8159122611149, 543.0312233347042, 541.5091635148984, 533.5692332722423, 532.2946446321221, 529.3484959262678, 523.1986842052033, 523.6332598293847, 525.7353901336603, 517.8893851120574, 517.4990507426033, 511.1555187023195, 512.8839116515272, 511.7848079258791]","[733.4681805752158, 714.920625733741, 674.6033963945926, 646.6980071309868, 616.6036919038735, 650.4430276945271, 604.1779781870995, 615.7732865430934, 591.9885623806463, 593.5189861958479, 620.9719793843365, 593.0530518400045, 652.4688381783296, 877.7429363724315, 636.9666795898012, 598.1617538661162, 599.1839530541124, 585.1843582114432, 617.2097116178616, 592.8678094939562]"
0.01,30,"[244, 64, 1]",relu,mini_batch,32,587.3578124791932,24.23546600499345,0.6215543006845796,"[2052.3465925324367, 825.5469969971907, 726.7622961079979, 720.6757553121093, 610.7914155681068, 617.2223013473288, 598.1109932724657, 582.6592995404916, 567.9675996617708, 565.0498439520567, 565.488825284145, 560.5517023358129, 536.7508619725049, 535.4178713814194, 549.8031936669272, 525.3315219133398, 529.9964304359729, 528.5893349523227, 536.1862913135425, 522.0468833599895, 514.0829979027612, 511.8354257630868, 512.2538602828081, 499.11898445482257, 510.151492233453, 513.559216234574, 528.8568188248702, 511.86524240277623, 504.18554920287386, 494.65568841932065]","[936.1143834059768, 670.1039462008173, 640.6694216861579, 1187.6723170707796, 629.9393903357109, 1067.8409949863092, 776.4666091025987, 599.2712213724069, 622.196459377979, 628.4405548608478, 750.9930918880805, 632.9870007268232, 786.1217713025981, 686.7857870423511, 800.8953528415542, 685.7728455363764, 990.8307226586182, 613.885142894883, 640.9848616701204, 730.3976662680519, 635.7435304598574, 713.407168549087, 692.4915807277885, 662.3585855674361, 638.2514292657974, 704.3417531421487, 690.3038752905348, 697.9285695580182, 634.9674116203876, 626.8143816632116]"
0.001,30,"[244, 64, 1]",relu,mini_batch,32,594.320416488952,24.378687751578262,0.6170681638059239,"[1122.1311552609584, 649.5824271881727, 610.250002300272, 590.8840365025624, 573.1025709770981, 560.6894792150148, 552.6369080824368, 544.3569781455979, 536.2659942726283, 536.8169769633056, 532.0517246086915, 527.0236789545781, 525.8566749230768, 525.1495874235663, 518.4012177658743, 525.2450177814105, 520.8765578481199, 516.6687956283674, 512.5463226690136, 512.334988272275, 509.0016422727054, 508.2482921008133, 509.62654438660377, 507.10651748477153, 505.14741770567247, 501.86586200527245, 498.8448257210735, 498.37469937626656, 500.5278326748712, 495.8926184672218]","[722.047355867487, 723.1128676815713, 651.5687363790101, 624.4642817405366, 615.6928620650575, 635.3447218976653, 610.7653058514342, 605.0113582758328, 591.9054685648882, 681.4767974850971, 593.4366226850315, 592.176519346965, 593.8830144484659, 603.6458742786469, 585.7389929082501, 609.2397073514974, 609.6230488078353, 613.9151638866799, 627.1528473284945, 679.8856119228371, 588.855063924595, 590.6716820828345, 612.4950633425258, 618.767728497426, 609.9039420644457, 595.4912671740299, 578.074148045086, 587.0058916691677, 582.989270525826, 589.3266305193899]"
0.001,20,"[244, 128, 64, 1]",relu,mini_batch,32,620.6497781247749,24.912843637866292,0.600103660286784,"[1067.7562887503082, 802.9900447866526, 687.8531269270708, 630.5411868778858, 601.0616681514077, 597.77925316753, 581.0371920854924, 575.3845935043893, 550.247288685739, 555.5298434222558, 532.922679581198, 547.2985170697309, 525.6212698078681, 513.0485294949278, 505.82905420028754, 526.7757377751236, 501.0736389867984, 486.228367262166, 487.1027770982757, 499.1416627538315]","[2868.3778406583247, 665.8429178085947, 879.6685815473162, 603.9393340470417, 602.3521190672201, 607.0754355492363, 823.2194783659713, 608.6618303898414, 602.4719753798416, 662.4758280165395, 776.8307384844685, 590.4233620174422, 595.3389816293744, 671.7651175405662, 602.6131241849478, 593.6393109587142, 591.5022226264971, 575.6341739059476, 647.6537300669208, 691.6615084193947]"
0.001,30,"[244, 64, 1]",relu,sgd,32,697.8309824152025,26.41649072861879,0.5503743569369082,"[1103.1875417411472, 803.4137335985479, 725.7883359970465, 690.3902303700105, 685.7337304102263, 676.6652103706757, 665.6807765105784, 667.6959917629464, 662.4812838616147, 660.7473146078208, 652.9574031072252, 645.4669701162037, 650.7671797265621, 635.5699450900265, 634.0297880544031, 632.3687174300923, 639.663940220893, 658.4087113365641, 663.828694336977, 649.5059531466186, 660.1686776924008, 659.5662475430262, 633.4563504169091, 639.7523203888858, 638.7258913157309, 650.2530867861492, 640.7417742363509, 658.9592429548803, 645.0160605858536, 639.2486014047802]","[804.0816046291574, 1010.8117301792706, 1218.2075931835539, 692.6665703882173, 672.0581957177766, 875.9736261223675, 815.1997554039534, 729.8576770032746, 2586.3547125783207, 845.9297848531885, 814.6216787419017, 665.2782525630498, 715.8509722496057, 737.5424789856006, 733.9890893014056, 903.542721602548, 666.6499918801948, 1571.827245442812, 849.3284278164914, 640.8987680384489, 881.7395641657524, 732.4415209654908, 687.6677840127616, 857.7015153934518, 695.8667811050954, 663.9045141623869, 636.2310037209214, 778.3777344271724, 1027.167244084164, 733.782794113511]"
0.01,30,"[244, 64, 1]",relu,batch,32,767.3953861271721,27.70190221134953,0.5055527016342998,"[6765.118492571058, 6700.168787399671, 6124.2385533766, 4109.678840443155, 1949.9869336484458, 3401.7938716554677, 846.3840887512163, 1219.6295566989252, 2481.1278960953123, 5789.98152844872, 4730.570153351878, 4254.109956980972, 2066.324334797745, 2240.6629836674806, 5519.168859841788, 4294.891667303736, 2496.992126530574, 1759.4257667626794, 4275.32965325759, 1808.5277240240164, 1690.1986444739175, 3892.119900268906, 1766.7956216990624, 1580.6469920800562, 3584.6403620617857, 1304.4002496658827, 1424.4549855985294, 2981.819477363998, 813.9773464201627, 762.029789857535]","[7251.440494688575, 6629.664037153657, 4405.16675260471, 1973.929821159808, 3820.5159237769267, 862.4448097184857, 1348.7104513039217, 2557.27793277423, 6322.68388774321, 5259.680734195251, 4777.083396754763, 2345.9212451061385, 2325.205308680528, 6038.158119209597, 4800.4666554773585, 2796.8981708001966, 1790.9063935483623, 4750.851427890604, 2039.1442303060753, 1746.4723238634522, 4365.3140141091135, 1997.4047496835965, 1630.1996819602707, 4030.590327279454, 1455.5067183785986, 1464.7591933862443, 3375.303333270057, 860.9056833758508, 795.5399702554222, 744.7338117430193]"
0.001,30,"[244, 128, 64, 1]",relu,batch,32,780.0130410804917,27.928713559354854,0.4974229089405168,"[6751.413778672088, 6691.263507634277, 6591.517874749554, 6443.748297247722, 6197.9425150923835, 5745.7024133422865, 4869.056205502059, 3292.2226350172136, 1708.5508104997293, 1294.4787479314884, 978.1577209855623, 845.1117672416941, 811.6150865743593, 787.964460107301, 774.5338062025896, 760.406388814503, 752.9726484451937, 743.3764870694653, 738.9134916697899, 731.6535068479682, 728.7537661150828, 722.933045678364, 721.1669025635039, 716.294346304306, 715.3009934258708, 710.9409031450618, 710.470185885361, 706.5623526913985, 706.6057264048645, 702.8582325284408]","[7237.786542812436, 7129.550734593073, 6968.227802696312, 6698.543497860794, 6199.593533033088, 5228.437802364819, 3476.71296762189, 1716.182468744329, 1291.6118652309754, 996.7862112307513, 850.3095099970942, 839.4766612489693, 799.1762700227927, 807.0965171849813, 776.4360578897795, 789.1452775574702, 762.8897454216045, 777.9775716516443, 753.8897079868638, 770.2626948683326, 747.3309699047326, 764.7391553144072, 742.3437668620328, 760.685597457232, 738.3122430883348, 757.501432177586, 734.9491076330643, 755.2137953231475, 732.0501146912939, 753.3477187187606]"
0.001,20,"[244, 128, 64, 1]",relu,batch,32,799.2554799864304,28.271106805118727,0.4850246431924976,"[6742.545152482328, 6680.027501006339, 6596.167372523499, 6478.039357903201, 6293.29393398978, 5976.763929622789, 5389.773331777371, 4259.143163060617, 2415.6888969677843, 1253.9436935526862, 978.7946842368669, 868.4364959927152, 829.9282458468242, 804.5154971457421, 785.03824062599, 769.2437855357872, 756.7650214313771, 746.316492764501, 738.0832881489191, 731.1400787883446]","[7229.485792794202, 7139.479954161436, 7012.339296168173, 6812.492936281142, 6468.274315599687, 5826.400109919981, 4582.883301992116, 2545.7920289965896, 1257.7722571886452, 995.8646229886455, 878.9425091089023, 853.8479387220306, 821.0062295507655, 813.9306847924479, 791.0519341677173, 789.8308110115618, 772.3360565037502, 774.5930441589566, 760.4812916914907, 765.1052212633826]"
